'system name         ','optimization level         ','CCSD(T) /CBS CP              	                                    '
'34 Pentane ...  Pentane (1.10)','MP2/cc-pVTZ CP','-3.3'
'34 Pentane ...  Pentane (1.25)','MP2/cc-pVTZ CP','-2.24'
'34 Pentane ...  Pentane (1.50)','MP2/cc-pVTZ CP','-1.05'
'34 Pentane ...  Pentane (2.00)','MP2/cc-pVTZ CP','-0.27'
'35 Neopentane ...  Pentane (0.90)','MP2/cc-pVTZ CP','-1.85'
'35 Neopentane ...  Pentane (0.95)','MP2/cc-pVTZ CP','-2.49'
'35 Neopentane ...  Pentane (1.00)','MP2/cc-pVTZ CP','-2.61'
'35 Neopentane ...  Pentane (1.05)','MP2/cc-pVTZ CP','-2.48'
'35 Neopentane ...  Pentane (1.10)','MP2/cc-pVTZ CP','-2.25'
'35 Neopentane ...  Pentane (1.25)','MP2/cc-pVTZ CP','-1.5'
'35 Neopentane ...  Pentane (1.50)','MP2/cc-pVTZ CP','-0.7'
'35 Neopentane ...  Pentane (2.00)','MP2/cc-pVTZ CP','-0.18'
'36 Neopentane ...  Neopentane (0.90)','MP2/cc-pVTZ CP','-1.45'
'36 Neopentane ...  Neopentane (0.95)','MP2/cc-pVTZ CP','-1.74'
'36 Neopentane ...  Neopentane (1.00)','MP2/cc-pVTZ CP','-1.77'
'36 Neopentane ...  Neopentane (1.05)','MP2/cc-pVTZ CP','-1.68'
'36 Neopentane ...  Neopentane (1.10)','MP2/cc-pVTZ CP','-1.54'
'36 Neopentane ...  Neopentane (1.25)','MP2/cc-pVTZ CP','-1.05'
'36 Neopentane ...  Neopentane (1.50)','MP2/cc-pVTZ CP','-0.5'
'36 Neopentane ...  Neopentane (2.00)','MP2/cc-pVTZ CP','-0.14'
'37 Cyclopentane ...  Neopentane (0.90)','MP2/cc-pVTZ CP','-1.61'
'37 Cyclopentane ...  Neopentane (0.95)','MP2/cc-pVTZ CP','-2.25'
'37 Cyclopentane ...  Neopentane (1.00)','MP2/cc-pVTZ CP','-2.41'
'37 Cyclopentane ...  Neopentane (1.05)','MP2/cc-pVTZ CP','-2.33'
'37 Cyclopentane ...  Neopentane (1.10)','MP2/cc-pVTZ CP','-2.14'
'37 Cyclopentane ...  Neopentane (1.25)','MP2/cc-pVTZ CP','-1.47'
'37 Cyclopentane ...  Neopentane (1.50)','MP2/cc-pVTZ CP','-0.71'
'37 Cyclopentane ...  Neopentane (2.00)','MP2/cc-pVTZ CP','-0.19'
'38 Cyclopentane ...  Cyclopentane (0.90)','MP2/cc-pVTZ CP','-2.24'
'38 Cyclopentane ...  Cyclopentane (0.95)','MP2/cc-pVTZ CP','-2.84'
'38 Cyclopentane ...  Cyclopentane (1.00)','MP2/cc-pVTZ CP','-3'
'38 Cyclopentane ...  Cyclopentane (1.05)','MP2/cc-pVTZ CP','-2.86'
'38 Cyclopentane ...  Cyclopentane (1.10)','MP2/cc-pVTZ CP','-2.6'
'38 Cyclopentane ...  Cyclopentane (1.25)','MP2/cc-pVTZ CP','-1.71'
'38 Cyclopentane ...  Cyclopentane (1.50)','MP2/cc-pVTZ CP','-0.79'
'38 Cyclopentane ...  Cyclopentane (2.00)','MP2/cc-pVTZ CP','-0.2'
'39 Benzene ...  Cyclopentane (0.90)','MP2/cc-pVTZ CP','-2.16'
'39 Benzene ...  Cyclopentane (0.95)','MP2/cc-pVTZ CP','-3.24'
'39 Benzene ...  Cyclopentane (1.00)','MP2/cc-pVTZ CP','-3.57'
'39 Benzene ...  Cyclopentane (1.05)','MP2/cc-pVTZ CP','-3.47'
'39 Benzene ...  Cyclopentane (1.10)','MP2/cc-pVTZ CP','-3.17'
'39 Benzene ...  Cyclopentane (1.25)','MP2/cc-pVTZ CP','-2.07'
'39 Benzene ...  Cyclopentane (1.50)','MP2/cc-pVTZ CP','-0.9'
'39 Benzene ...  Cyclopentane (2.00)','MP2/cc-pVTZ CP','-0.19'
'40 Benzene ...  Neopentane (0.90)','MP2/cc-pVTZ CP','-1.86'
'40 Benzene ...  Neopentane (0.95)','MP2/cc-pVTZ CP','-2.68'
'40 Benzene ...  Neopentane (1.00)','MP2/cc-pVTZ CP','-2.89'
'40 Benzene ...  Neopentane (1.05)','MP2/cc-pVTZ CP','-2.8'
'40 Benzene ...  Neopentane (1.10)','MP2/cc-pVTZ CP','-2.57'
'40 Benzene ...  Neopentane (1.25)','MP2/cc-pVTZ CP','-1.7'
'40 Benzene ...  Neopentane (1.50)','MP2/cc-pVTZ CP','-0.77'
'40 Benzene ...  Neopentane (2.00)','MP2/cc-pVTZ CP','-0.19'
'41 Uracil ...  Pentane (0.90)','MP2/cc-pVTZ CP','-3.83'
'41 Uracil ...  Pentane (0.95)','MP2/cc-pVTZ CP','-4.69'
'41 Uracil ...  Pentane (1.00)','MP2/cc-pVTZ CP','-4.84'
'41 Uracil ...  Pentane (1.05)','MP2/cc-pVTZ CP','-4.6'
'41 Uracil ...  Pentane (1.10)','MP2/cc-pVTZ CP','-4.08'
'41 Uracil ...  Pentane (1.25)','MP2/cc-pVTZ CP','-2.44'
'41 Uracil ...  Pentane (1.50)','MP2/cc-pVTZ CP','-0.98'
'41 Uracil ...  Pentane (2.00)','MP2/cc-pVTZ CP','-0.21'
'42 Uracil ...  Cyclopentane (0.90)','MP2/cc-pVTZ CP','-3.05'
